Title 	 TargetName 	 SourceType 	 BkgTarget 	 EffExp [s] 	 RA 	 DEC 	 ASN 	 DataProblem 	 FileName 
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	FT-Tau	POINT	False	1864.824	65.91327639177338	24.937172907447376	jw01282_20241001t050842_pool.csv	False	jw01282-o010_t015_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	HK-Tau-B	POINT	False	3696.348	67.96069570730904	24.404533932423206	jw01282_20241001t050842_pool.csv	False	jw01282-o008_t013_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	SY-Cha	POINT	False	3696.348	164.12581666718478	-77.19421735678232	jw01282_20241001t050842_pool.csv	False	jw01282-o030_t033_miri
NGC 346: Star Formation at Low Metallicity in the Small Magellanic Cloud	Y532	UNKNOWN	False	599.412	14.760723557501239	-72.16866057670188	jw01227_20240905t085642_pool.csv	False	jw01227-o021_t022_miri
!!!NGC6240!!!		EXTENDED	True	832.512	253.26595911816185	2.4113900501223435	jw01265_20240701t145224_pool.csv	False	jw01265-o002_t002_miri
!!!MIRI EC Protostars Survey!!!		POINT	True	599.409	180.37791022257866	-65.14572539858992	jw01290_20240702t102756_pool.csv	False	jw01290-o023_t025_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	AA-Tau	POINT	False	1864.824	68.73088702878668	24.481287471633884	jw01282_20241001t050842_pool.csv	False	jw01282-o001_t007_miri
Sparse Spectral Mapping of NGC 1514	NGC 1514	EXTENDED	False	715.962	62.2925950804423	30.777064888531587	jw01238_20240701t040247_pool.csv	False	jw01238-o011_t017_miri
Sparse Spectral Mapping of NGC 1514	NGC 1514	EXTENDED	False	715.962	62.27652359096962	30.741270678170608	jw01238_20240701t040247_pool.csv	False	jw01238-o021_t022_miri
Mapping inclined disk astrochemical signatures (MIDAS)	2MASS J04202144+2813491	EXTENDED	False	19780.847999999998	65.08932653220795	28.230344549584586	jw01751_20240705t072749_pool.csv	False	jw01751-o020_t008_miri
!!!CAR MIRI-015 (MRS): MIRI MRS Spectral Resolution and Dispersion!!!	Background	EXTENDED	True	416.256	133.83355310831436	-43.457915752781055	jw01031_20240716t181734_pool.csv	False	jw01031-o006_t006_miri
!!!CAR MIRI-015 (MRS): MIRI MRS Spectral Resolution and Dispersion!!!	NGC 6543	EXTENDED	False	4129.248	269.639866647087	66.63331149182233	jw01031_20240716t181734_pool.csv	False	jw01031-o012_t010_miri
!!!CAR MIRI-015 (MRS): MIRI MRS Spectral Resolution and Dispersion!!!	NGC 6543	EXTENDED	True	208.13	269.73651848769066	66.60236327601187	jw01031_20240716t181734_pool.csv	False	jw01031-o005_t012_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	2MASS-J11074245-7733593	POINT	False	3696.348	166.92596311912484	-77.56644432673066	jw01282_20241001t050842_pool.csv	False	jw01282-o100_t053_miri
